year,data_year,list,rank,company,status,prior_year_closings,prior_year_gross_revenue,prior_year_rank,firm_url
2016,2015,top100,50,CBH Homes,,900,$173,51,https://www.builderonline.com/firms/cbh-homes
2016,2015,top100,51,McBride & Son Cos.,,852,$249,49,https://www.builderonline.com/firms/mcbride-son-cos
2016,2015,top100,52,Bloomfield Homes,,791,$227,55,https://www.builderonline.com/firms/bloomfield-homes
2016,2015,top100,53,Ivory Homes,,784,$288,52,https://www.builderonline.com/firms/ivory-homes
2016,2015,top100,54,Edge Homes,,741,$239,81,https://www.builderonline.com/firms/edge-homes
2016,2015,top100,55,Arbor Homes,,734,$151,57,https://www.builderonline.com/firms/arbor-homes
2016,2015,top100,56,Minto Communities,,718,$340,N/A,https://www.builderonline.com/firms/minto-communities
2016,2015,top100,57,Stanley Martin Cos.,,713,$418,63,https://www.builderonline.com/firms/stanley-martin-cos
2016,2015,top100,58,UCP,p,701,$279,92,https://www.builderonline.com/firms/ucp
2016,2015,top100,59,American Legend Homes,,700,$325,86,https://www.builderonline.com/firms/american-legend-homes
2016,2015,top100,60,Wade Jurney Homes,,690,$96,90,https://www.builderonline.com/firms/wade-jurney-homes
2016,2015,top100,61,Green Brick Partners,p,655,$291,61,https://www.builderonline.com/firms/green-brick-partners
2016,2015,top100,62,Betenbough Homes,,653,$132,53,https://www.builderonline.com/firms/betenbough-homes
2016,2015,top100,63,Ole South Properties,,650,$128,70,https://www.builderonline.com/firms/ole-south-properties
2016,2015,top100,64,HistoryMaker Homes,,635,$136,65,https://www.builderonline.com/firms/historymaker-homes
2016,2015,top100,65,NeighborWorks America,,634,$0,59,https://www.builderonline.com/firms/neighborworks-america
2016,2015,top100,66,Milestone Community Builders,,619,$179,N/A,https://www.builderonline.com/firms/milestone-community-builders
2016,2015,top100,67,View Homes,,608,$147,84,https://www.builderonline.com/firms/view-homes
2016,2015,top100,68,Allen Edwin Homes,,602,$151,65,https://www.builderonline.com/firms/allen-edwin-homes
2016,2015,top100,69,Lombardo Homes,,598,$241,60,https://www.builderonline.com/firms/lombardo-homes
2016,2015,top100,70,Armadillo Construction Co.,,589,$136,75,https://www.builderonline.com/firms/armadillo-construction-co
2016,2015,top100,71,Ball Homes,,586,$159,81,https://www.builderonline.com/firms/ball-homes
2016,2015,top100,72,Westport Homes,,571,$120,62,https://www.builderonline.com/firms/westport-homes
2016,2015,top100,73,Robson Resort Communities,,555,$201,76,https://www.builderonline.com/firms/robson-resort-communities
2016,2015,top100,74,Great Southern Homes,,544,$100,100,https://www.builderonline.com/firms/great-southern-homes
2016,2015,top100,75,Westin Homes,,537,$192,58,https://www.builderonline.com/firms/westin-homes
2016,2015,top100,76,Smith Douglas Homes,,526,$109,83,https://www.builderonline.com/firms/smith-douglas-homes
2016,2015,top100,77,Bill Clark Homes,,507,$146,77,https://www.builderonline.com/firms/bill-clark-homes
2016,2015,top100,78,Essex Homes Southeast,,498,$144,78,https://www.builderonline.com/firms/essex-homes-southeast
2016,2015,top100,79,2016 HHHunt Homes,,495,$154,107,https://www.builderonline.com/builder-100-listing/2016-hhhunt-homes/
2016,2015,top100,80,H&H Homes,,486,$118,96,https://www.builderonline.com/firms/h-h-homes
2016,2015,top100,81,Highland Homes of Florida,,485,$95,102,https://www.builderonline.com/firms/highland-homes_1
2016,2015,top100,82,Dream Finders Homes,,476,$140,91,https://www.builderonline.com/firms/dream-finders-homes
2016,2015,top100,83,Signature Homes,,475,$192,85,https://www.builderonline.com/firms/signature-homes
2016,2015,top100,84,Home Creations,,474,$101,80,https://www.builderonline.com/firms/home-creations
2016,2015,top100,85,Stock Development,,473,$358,67,https://www.builderonline.com/firms/stock-development
2016,2015,top100,86,Landon Homes,,464,$241,95,https://www.builderonline.com/firms/landon-homes
2016,2015,top100,87,Anglia Homes,,460,$93,74,https://www.builderonline.com/firms/anglia-homes
2016,2015,top100,88,Caviness and Cates Communities,,459,$130,89,https://www.builderonline.com/firms/caviness-and-cates-communities
2016,2015,top100,89,2016 Van Metre Cos.,,456,$333,72,https://www.builderonline.com/builder-100-listing/2016-van-metre-cos/
2016,2015,top100,90,ICI Homes,,452,$304,71,https://www.builderonline.com/firms/ici-homes
2016,2015,top100,91,American West Homebuilding Group,,451,$229,97,https://www.builderonline.com/firms/american-west-homebuilding-group
2016,2015,top100,92,Goodall Homes,,436,$132,105,https://www.builderonline.com/firms/goodall-homes
2016,2015,top100,93,Stylecraft Builders,,434,$93,93,https://www.builderonline.com/firms/stylecraft-builders
2016,2015,top100,94,Saratoga Homes,,418,$109,101,https://www.builderonline.com/firms/saratoga-homes
2016,2015,top100,95,Royal Oaks Building Group,,381,$111,112,https://www.builderonline.com/firms/royal-oaks-building-group
2016,2015,top100,96,Traditions of America,,378,$163,128,https://www.builderonline.com/firms/traditions-of-america
2016,2015,top100,97,Elliott Homes,,376,$177,109,https://www.builderonline.com/firms/elliott-homes
2016,2015,top100,98,United Built Homes,,372,$76,87,https://www.builderonline.com/firms/united-built-homes
2016,2015,top100,99,Grand Homes,,369,$172,98,https://www.builderonline.com/firms/grand-homes
2016,2015,top100,100,Tilson Homes,,365,$95,79,https://www.builderonline.com/firms/tilson-homes
2016,2015,next100,101,Newmark Homes,,354,$159,93,https://www.builderonline.com/firms/newmark-homes
2016,2015,next100,101,AR Homes,,354,$273,121,https://www.builderonline.com/firms/ar-homes
2016,2015,next100,103,Pacesetter Homes,,352,$79,126,https://www.builderonline.com/firms/pacesetter-homes
2016,2015,next100,104,Schell Brothers,,351,$209,111,https://www.builderonline.com/firms/schell-brothers
2016,2015,next100,105,S&A Homes,,343,$98,113,https://www.builderonline.com/firms/s-a-homes
2016,2015,next100,106,Ideal Homes,,329,$67,108,https://www.builderonline.com/firms/ideal-homes
2016,2015,next100,107,The Jones Co. of Tennessee,,327,$120,124,https://www.builderonline.com/firms/the-jones-co-of-tennessee
2016,2015,next100,108,Keystone Custom Homes,,322,$101,104,https://www.builderonline.com/firms/keystone-custom-homes
2016,2015,next100,108,Grayhawk Homes,,322,$78,117,https://www.builderonline.com/firms/grayhawk-homes
2016,2015,next100,110,Simmons Homes,,317,$98,119,https://www.builderonline.com/firms/simmons-homes
2016,2015,next100,110,Regency Homebuilders,,317,$80,123,https://www.builderonline.com/firms/regency-homebuilders
2016,2015,next100,110,Fulton Homes,,317,$116,103,https://www.builderonline.com/firms/fulton-homes
2016,2015,next100,113,Carefree Homes,,313,$53,120,https://www.builderonline.com/firms/carefree-homes
2016,2015,next100,114,Eastbrook Homes,,312,$102,110,https://www.builderonline.com/firms/eastbrook-homes
2016,2015,next100,115,Miller and Smith,,304,$160,106,https://www.builderonline.com/firms/miller-and-smith
2016,2015,next100,116,Park Square Homes,,302,$111,N/A,https://www.builderonline.com/firms/park-square-homes
2016,2015,next100,117,Homes by Westbay,,300,$135,137,https://www.builderonline.com/firms/homes-by-westbay
2016,2015,next100,118,William Ryan Homes,,290,$102,129,https://www.builderonline.com/firms/william-ryan-homes
2016,2015,next100,118,Level Homes,,290,$75,182,https://www.builderonline.com/firms/level-homes
2016,2015,next100,120,The Challenger Group,,289,$83,115,https://www.builderonline.com/firms/the-challenger-group
2016,2015,next100,121,Elite Properties of America,,287,$159,122,https://www.builderonline.com/firms/elite-properties-of-america
2016,2015,next100,122,John Mourier Construction,,281,$128,153,https://www.builderonline.com/firms/john-mourier-construction
2016,2015,next100,123,Savvy Homes,,280,$80,114,https://www.builderonline.com/firms/savvy-homes
2016,2015,next100,124,Granite Ridge Builders,,278,$70,118,https://www.builderonline.com/firms/granite-ridge-builders
2016,2015,next100,125,Van Daele Homes,,273,$185,141,https://www.builderonline.com/firms/van-daele-homes
2016,2015,next100,126,The Olson Co.,,253,$141,147,https://www.builderonline.com/firms/the-olson-co
2016,2015,next100,127,Crescent Homes,,250,$72,126,https://www.builderonline.com/firms/crescent-homes
2016,2015,next100,128,Encore Capital Management,,249,$235,88,https://www.builderonline.com/firms/encore-capital-management
2016,2015,next100,129,Summit Custom Homes,,243,$86,160,https://www.builderonline.com/firms/summit-custom-homes
2016,2015,next100,130,Hubbell Homes,,242,$62,N/A,https://www.builderonline.com/firms/hubbell-homes
2016,2015,next100,131,GreenECO Builders,,234,$46,133,https://www.builderonline.com/firms/greeneco-builders
